rule_id,supplement_category,target_goal,ingredient_keyword,form,recommended_time,with_meal,frequency_per_day,dose_instruction,duration_weeks,avoid_with,spacing_rule,safety_note,tracking_frequency,expected_result_window,adherence_tip
SR0199,Joint Support,Recovery,glucosamine,capsule,Morning,Yes,1,1-2 capsules daily with meal,16,Use caution with blood thinners,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for joint comfort support,Set a daily reminder in the app
SR0200,BCAA,Immunity,bcaa,softgel,During workout,No,1,Follow label dosage,6,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for recovery support,Review progress weekly
SR0201,Joint Support,Heart Health,turmeric,liquid,After breakfast,Yes,1,Follow label dosage,16,Use caution with blood thinners,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for joint comfort support,Take it at the same time every day
SR0202,Performance,Energy Boost,creatine monohydrate,tablet,Morning,Optional,1,Follow label dosage,6,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Log missed doses honestly
SR0203,Digestive,Immunity,bifidobacterium,liquid,Night,Optional,1,Follow label dosage,8,Use caution if immunocompromised,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for digestive support,Stop and report side effects
SR0204,Digestive,Body Building,bifidobacterium,softgel,Night,No,1,1 capsule before meal,12,Use caution if immunocompromised,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Review progress weekly
SR0205,Performance,Immunity,creatine monohydrate,tablet,Before workout,Optional,2,3-5g daily,8,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for strength support,Take it at the same time every day
SR0206,Omega-3,Joint Support,omega-3,capsule,After lunch,Yes,2,1-2 softgels daily with food,8,Use caution with blood thinning medications,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for heart health support,Review progress weekly
SR0207,Omega-3,Body Building,fish oil,softgel,After breakfast,Yes,1,1-2 softgels daily with food,16,Use caution with blood thinning medications,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for heart health support,Log missed doses honestly
SR0208,General Wellness,Energy Boost,electrolytes,gel,After breakfast,Yes,1,1 tablet daily,12,Check medication conflicts and allergies,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for general wellness support,Take it at the same time every day
SR0209,General Wellness,Strength,electrolytes,softgel,Morning,Optional,1,1 serving daily,8,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Stop and report side effects
SR0210,Omega-3,Skin Health,fish oil,tablet,After lunch,Yes,1,1-2 softgels daily with food,12,Consult doctor before surgery,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for heart health support,Set a daily reminder in the app
SR0211,BCAA,Heart Health,valine,powder,After workout,No,1,1 serving during workout,6,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for recovery support,Stop and report side effects
SR0212,Protein,Joint Support,soy protein,gel,Morning,Yes,1,1 scoop daily,12,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for muscle gain support,Take it at the same time every day
SR0213,BCAA,Recovery,isoleucine,tablet,After workout,No,2,1 serving during workout,6,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for recovery support,Stop and report side effects
SR0214,Performance,General Wellness,citrulline malate,powder,Any time daily,Optional,2,Follow label dosage,12,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for performance improvement,Set a daily reminder in the app
SR0215,Digestive,Immunity,lactobacillus,gel,Night,No,1,1 capsule daily,8,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for digestive support,Log missed doses honestly
SR0216,General Wellness,Digestive Health,greens blend,liquid,After breakfast,Optional,1,1 tablet daily,12,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Review progress weekly
SR0217,Mineral,Joint Support,magnesium,gel,Night,No,2,1 tablet daily,12,Do not take iron with calcium or tea,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for deficiency support,Stop and report side effects
SR0218,Mineral,Immunity,zinc,tablet,Night,Yes,2,Take as directed on label,16,Do not take iron with calcium or tea,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for deficiency support,Take it at the same time every day
SR0219,Digestive,Heart Health,bifidobacterium,powder,Before breakfast,No,2,1 capsule daily,12,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Set a daily reminder in the app
SR0220,Mineral,Muscle Gain,magnesium,powder,Morning,Yes,2,Take as directed on label,12,Do not take iron with calcium or tea,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Review progress weekly
SR0221,Joint Support,Muscle Gain,chondroitin,softgel,After dinner,Yes,2,1-2 capsules daily with meal,12,Check shellfish allergy for glucosamine,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for joint comfort support,Stop and report side effects
SR0222,Performance,Skin Health,creatine monohydrate,capsule,Morning,Optional,1,1 serving 20-30 minutes before workout,8,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for performance improvement,Log missed doses honestly
SR0223,Collagen Protein,Skin Health,collagen,liquid,After breakfast,Yes,1,1 serving with water,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for skin/joint support,Log missed doses honestly
SR0224,Performance,Heart Health,beta alanine,softgel,Morning,Optional,1,3-5g daily,12,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Stop and report side effects
SR0225,BCAA,General Wellness,leucine,gel,Before workout,No,2,Follow label dosage,6,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for recovery support,Set a daily reminder in the app
SR0226,Mineral,Energy Boost,calcium,capsule,Night,Yes,1,1 tablet daily,16,Separate calcium/iron from levothyroxine by 4 hours,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Log missed doses honestly
SR0227,Collagen Protein,Energy Boost,vitamin c,tablet,Night,Yes,2,1 serving with water,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Log missed doses honestly
SR0228,General Wellness,Body Building,multivitamin,capsule,Evening,Yes,1,1 serving daily,8,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for general wellness support,Review progress weekly
SR0229,Digestive,Immunity,bifidobacterium,gel,Night,Optional,2,1 capsule before meal,8,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for digestive support,Review progress weekly
SR0230,BCAA,Energy Boost,valine,powder,After workout,Optional,1,1 scoop with water,8,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for recovery support,Take it at the same time every day
SR0231,Digestive,Strength,bifidobacterium,powder,Before meal,No,2,1 capsule daily,12,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for digestive support,Take it at the same time every day
SR0232,Vitamin,Heart Health,vitamin d,gel,Morning,Yes,1,1 capsule daily,8,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-12 weeks for wellness support,Log missed doses honestly
SR0233,Joint Support,Body Building,msm,liquid,Morning,Yes,2,1-2 capsules daily with meal,16,Check shellfish allergy for glucosamine,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for joint comfort support,Log missed doses honestly
SR0234,Protein,Arms,pea protein,liquid,Morning,Yes,1,1 scoop with water or milk,10,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for muscle gain support,Review progress weekly
SR0235,Digestive,Heart Health,digestive enzymes,tablet,Night,Optional,1,1 capsule before meal,4,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for digestive support,Log missed doses honestly
SR0236,Vitamin,Fat Loss,vitamin b complex,liquid,After lunch,Yes,1,1 capsule daily,8,Avoid exceeding daily upper limit,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-12 weeks for wellness support,Take it at the same time every day
SR0237,BCAA,Immunity,isoleucine,softgel,During workout,No,2,Follow label dosage,6,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for recovery support,Set a daily reminder in the app
SR0238,Performance,Joint Support,pre workout blend,powder,Morning,No,1,1 serving 20-30 minutes before workout,8,Consult doctor if kidney disease exists,Avoid within 6 hours of bedtime,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for strength support,Stop and report side effects
SR0239,Omega-3,Fat Loss,omega-3,tablet,After breakfast,Yes,1,1 softgel after meal,12,Consult doctor before surgery,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for heart health support,Review progress weekly
SR0240,General Wellness,Immunity,greens blend,softgel,Evening,Optional,1,1 serving daily,8,Check medication conflicts and allergies,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for general wellness support,Take it at the same time every day
SR0241,Collagen Protein,Strength,biotin,tablet,Morning,Yes,1,1 scoop daily,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for skin/joint support,Log missed doses honestly
SR0242,Performance,Digestive Health,citrulline malate,liquid,Morning,Optional,1,Follow label dosage,8,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for performance improvement,Set a daily reminder in the app
SR0243,Performance,Heart Health,creatine monohydrate,liquid,Before workout,No,1,Follow label dosage,6,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Set a daily reminder in the app
SR0244,Omega-3,Body Building,omega-3,liquid,After dinner,Yes,2,1 softgel after meal,8,Consult doctor before surgery,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for heart health support,Log missed doses honestly
SR0245,Omega-3,Heart Health,fish oil,gel,After lunch,Yes,1,1 softgel after meal,16,Use caution with blood thinning medications,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for heart health support,Stop and report side effects
SR0246,Omega-3,Body Building,epa dha,powder,After lunch,Yes,2,1-2 softgels daily with food,16,Use caution with blood thinning medications,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for heart health support,Review progress weekly
SR0247,Digestive,Arms,lactobacillus,gel,Before meal,No,1,1 capsule daily,4,Use caution if immunocompromised,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for digestive support,Set a daily reminder in the app
SR0248,Vitamin,Skin Health,vitamin c,capsule,After lunch,Yes,2,Follow label dosage,12,Avoid exceeding daily upper limit,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-12 weeks for wellness support,Set a daily reminder in the app
SR0249,Mineral,Recovery,zinc,gel,Between meals,Yes,1,Take as directed on label,12,Do not take iron with calcium or tea,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Review progress weekly
SR0250,BCAA,Muscle Gain,valine,powder,During workout,Optional,1,1 scoop with water,6,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for recovery support,Review progress weekly
SR0251,Digestive,Fat Loss,bifidobacterium,powder,Night,No,1,Follow label dosage,12,Use caution if immunocompromised,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Review progress weekly
SR0252,Mineral,Fat Loss,calcium,liquid,Between meals,No,2,1 capsule daily,16,Do not take iron with calcium or tea,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Set a daily reminder in the app
SR0253,Mineral,Fat Loss,iron,liquid,Night,Yes,2,1 capsule daily,16,Do not take iron with calcium or tea,"Keep 2 hours away from calcium, tea, or coffee",Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Set a daily reminder in the app
SR0254,Protein,Strength,casein protein,tablet,Evening,Optional,1,1 serving after workout,10,Avoid excessive intake with kidney disease,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for muscle gain support,Set a daily reminder in the app
SR0255,Protein,General Wellness,soy protein,softgel,Morning,Yes,1,1 scoop daily,10,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for muscle gain support,Set a daily reminder in the app
SR0256,Collagen Protein,Arms,vitamin c,liquid,Morning,Yes,1,1 scoop daily,12,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for skin/joint support,Set a daily reminder in the app
SR0257,Protein,Muscle Gain,casein protein,gel,After workout,Yes,1,1 scoop with water or milk,10,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for muscle gain support,Take it at the same time every day
SR0258,Omega-3,Heart Health,omega-3,liquid,After dinner,Yes,1,1-2 softgels daily with food,8,Use caution with blood thinning medications,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for heart health support,Take it at the same time every day
SR0259,Joint Support,Body Building,glucosamine,gel,After dinner,Yes,2,Follow label dosage,12,Check shellfish allergy for glucosamine,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for joint comfort support,Log missed doses honestly
SR0260,Mineral,Skin Health,magnesium,capsule,Between meals,No,1,Take as directed on label,12,Separate calcium/iron from levothyroxine by 4 hours,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Take it at the same time every day
SR0261,Protein,Energy Boost,pea protein,powder,After workout,Optional,1,1 scoop daily,12,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for muscle gain support,Log missed doses honestly
SR0262,Performance,Digestive Health,beta alanine,tablet,Morning,Optional,2,3-5g daily,8,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for strength support,Take it at the same time every day
SR0263,Joint Support,Heart Health,turmeric,capsule,Morning,Yes,2,1-2 capsules daily with meal,16,Use caution with blood thinners,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for joint comfort support,Set a daily reminder in the app
SR0264,General Wellness,Skin Health,multivitamin,softgel,After breakfast,Yes,1,1 tablet daily,12,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Log missed doses honestly
SR0265,Collagen Protein,Strength,biotin,powder,Morning,Optional,1,Follow label dosage,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for skin/joint support,Stop and report side effects
SR0266,Omega-3,Fat Loss,fish oil,powder,After lunch,Yes,1,1-2 softgels daily with food,12,Consult doctor before surgery,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for heart health support,Log missed doses honestly
SR0267,General Wellness,Energy Boost,multivitamin,softgel,Morning,Optional,1,Follow label dosage,8,Check medication conflicts and allergies,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Log missed doses honestly
SR0268,Vitamin,Body Building,vitamin c,softgel,After breakfast,Yes,2,Follow label dosage,16,Avoid exceeding daily upper limit,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-12 weeks for wellness support,Set a daily reminder in the app
SR0269,Protein,Joint Support,whey protein,gel,After workout,Optional,1,1 serving after workout,10,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for recovery improvement,Set a daily reminder in the app
SR0270,Performance,Muscle Gain,beta alanine,softgel,Morning,No,1,1 serving 20-30 minutes before workout,6,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for strength support,Review progress weekly
SR0271,Digestive,Energy Boost,bifidobacterium,capsule,Before meal,Optional,2,1 capsule daily,12,Use caution if immunocompromised,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for digestive support,Log missed doses honestly
SR0272,Collagen Protein,Muscle Gain,collagen,powder,Morning,Optional,1,1 serving with water,12,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Take it at the same time every day
SR0273,Digestive,General Wellness,digestive enzymes,gel,Night,Optional,1,Follow label dosage,8,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Review progress weekly
SR0274,Joint Support,Muscle Gain,msm,tablet,After dinner,Yes,1,Follow label dosage,8,Use caution with blood thinners,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for joint comfort support,Review progress weekly
SR0275,Omega-3,Heart Health,epa dha,liquid,After lunch,Yes,1,1 softgel after meal,8,Consult doctor before surgery,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for heart health support,Review progress weekly
SR0276,Digestive,Joint Support,lactobacillus,powder,Before breakfast,Optional,1,1 capsule daily,12,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for digestive support,Review progress weekly
SR0277,General Wellness,Muscle Gain,greens blend,powder,Evening,Yes,2,1 serving daily,12,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for general wellness support,Review progress weekly
SR0278,Mineral,Skin Health,iron,capsule,Between meals,No,1,1 capsule daily,12,Do not take iron with calcium or tea,"Keep 2 hours away from calcium, tea, or coffee",Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Log missed doses honestly
SR0279,Protein,Energy Boost,whey protein,liquid,After workout,Optional,1,1 serving after workout,12,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for muscle gain support,Review progress weekly
SR0280,Performance,Skin Health,citrulline malate,liquid,Any time daily,No,1,Follow label dosage,6,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for performance improvement,Take it at the same time every day
SR0281,Joint Support,Strength,msm,liquid,After breakfast,Yes,2,Follow label dosage,12,Use caution with blood thinners,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for joint comfort support,Review progress weekly
SR0282,Protein,General Wellness,casein protein,capsule,Evening,Yes,1,1 scoop daily,12,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for recovery improvement,Take it at the same time every day
SR0283,Omega-3,Arms,fish oil,capsule,After lunch,Yes,1,1 softgel after meal,12,Consult doctor before surgery,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for heart health support,Log missed doses honestly
SR0284,Vitamin,Strength,vitamin d,softgel,After lunch,Yes,1,1 capsule daily,12,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-12 weeks for wellness support,Log missed doses honestly
SR0285,Joint Support,Skin Health,turmeric,powder,After breakfast,Yes,1,Follow label dosage,8,Use caution with blood thinners,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for joint comfort support,Log missed doses honestly
SR0286,Vitamin,Heart Health,vitamin d,powder,After breakfast,Yes,1,1 tablet after meal,12,Avoid exceeding daily upper limit,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-12 weeks for wellness support,Set a daily reminder in the app
SR0287,Digestive,Arms,digestive enzymes,capsule,Night,No,1,1 capsule before meal,4,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Log missed doses honestly
SR0288,Vitamin,Strength,vitamin c,powder,After breakfast,Yes,2,Follow label dosage,16,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-12 weeks for wellness support,Stop and report side effects
SR0289,Performance,Strength,citrulline malate,liquid,Morning,No,1,3-5g daily,6,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Stop and report side effects
SR0290,Performance,Immunity,citrulline malate,gel,Any time daily,No,2,1 serving 20-30 minutes before workout,12,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Log missed doses honestly
SR0291,Digestive,Fat Loss,lactobacillus,capsule,Before breakfast,No,1,1 capsule daily,8,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Take it at the same time every day
SR0292,Performance,Recovery,creatine monohydrate,gel,Morning,No,2,3-5g daily,12,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for performance improvement,Review progress weekly
SR0293,Mineral,Body Building,zinc,softgel,Night,Yes,2,1 tablet daily,16,Do not take iron with calcium or tea,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for deficiency support,Take it at the same time every day
SR0294,Mineral,Immunity,calcium,capsule,Morning,No,1,Take as directed on label,16,Do not take iron with calcium or tea,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Log missed doses honestly
SR0295,Performance,Muscle Gain,creatine monohydrate,liquid,Any time daily,No,1,Follow label dosage,8,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for performance improvement,Set a daily reminder in the app
SR0296,Digestive,Heart Health,digestive enzymes,tablet,Before breakfast,Optional,1,1 capsule before meal,12,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Stop and report side effects
SR0297,Collagen Protein,Strength,vitamin c,gel,Night,Yes,1,1 serving with water,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for skin/joint support,Set a daily reminder in the app
SR0298,Digestive,Energy Boost,lactobacillus,powder,Night,Optional,1,1 capsule daily,12,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Log missed doses honestly
SR0299,Vitamin,Skin Health,multivitamin,tablet,After lunch,Yes,1,1 capsule daily,8,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-12 weeks for wellness support,Review progress weekly
SR0300,Performance,Muscle Gain,beta alanine,gel,Any time daily,Optional,2,1 serving 20-30 minutes before workout,12,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for strength support,Log missed doses honestly
SR0301,Joint Support,Arms,turmeric,powder,After breakfast,Yes,1,1-2 capsules daily with meal,8,Use caution with blood thinners,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for joint comfort support,Log missed doses honestly
SR0302,Mineral,Arms,magnesium,tablet,Night,No,2,1 tablet daily,16,Do not take iron with calcium or tea,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Take it at the same time every day
SR0303,Collagen Protein,Fat Loss,vitamin c,powder,Night,Yes,1,1 serving with water,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Take it at the same time every day
SR0304,General Wellness,Heart Health,greens blend,powder,Morning,Yes,1,Follow label dosage,12,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Stop and report side effects
SR0305,BCAA,Digestive Health,leucine,liquid,Before workout,Optional,1,Follow label dosage,8,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for recovery support,Stop and report side effects
SR0306,Digestive,Joint Support,lactobacillus,powder,Before meal,No,1,1 capsule daily,8,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for digestive support,Review progress weekly
SR0307,General Wellness,Immunity,ashwagandha,tablet,After breakfast,Yes,2,1 tablet daily,8,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for general wellness support,Log missed doses honestly
