supplement_id,name,category,target_goal,ingredients,dosage,price_range,brand,size,form,price_lkr,price_range_lkr,currency,store_name,price_source,last_checked,data_type,price_note,rating
S0257,BioActive Multivitamin Pro,Vitamin,Endurance,vitamin A; vitamin C; vitamin E; zinc; selenium,1 tablet with breakfast,Low,Generic Wellness,60-120 count,tablet,3200,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.8
S0258,StrongLife BCAA Ultra,Amino Acid,Recovery,leucine; isoleucine; valine,5-10g during/after workout,Medium,Applied Nutrition,300g-500g,powder,12500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.9
S0259,VitaLab Vitamin C Ultra,Vitamin,Immunity,ascorbic acid,1 tablet after meal,High,Applied Nutrition,60-120 count,tablet,12300,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0260,CeyFit L-Carnitine Pro,Amino Acid,Weight Loss,L-carnitine,1 serving before workout,Medium,TNT,300g-500g,powder,15500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4
S0261,NutriMax Ashwagandha Pro,Herbal,Recovery,ashwagandha extract,1 capsule evening,Low,Himalaya,60-120 count,capsule,4000,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4
S0262,PureForm Creatine Monohydrate Pro,Performance,Muscle Gain,creatine monohydrate,3-5g daily,Low,Nutricost,300g-500g,powder,15500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,5
S0263,FitCore Glucosamine Chondroitin Plus,Joint,Joint Support,glucosamine; chondroitin,1 tablet with meal,Low,Nutricost,60-120 count,tablet,5500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0264,BioActive Casein Protein Advanced,Protein,Recovery,casein protein,1 scoop before sleep,High,Rule 1,2lb-5lb,powder,32500,25000-50000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.8
S0265,ActiveFuel Collagen Peptides Advanced,Protein,Hair and Skin,collagen peptides; vitamin C,1 scoop daily,Low,MuscleTech,2lb-5lb,powder,22500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0266,VitaLab Pre-Workout Caffeine Pro,Performance,Energy Boost,caffeine; beta-alanine; citrulline,30 min before workout,Medium,Applied Nutrition,300g-500g,powder,10900,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4
S0267,StrongLife Electrolyte Mix Plus,Hydration,Endurance,sodium; potassium; magnesium,during workout,Low,BioActive,1 serving-300g,powder,4500,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0268,ActiveFuel Collagen Peptides Ultra,Protein,Hair and Skin,collagen peptides; vitamin C,1 scoop daily,Medium,Generic Sports Nutrition,2lb-5lb,powder,19500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0269,ActiveFuel Ashwagandha Plus,Herbal,Hair and Skin,ashwagandha extract,1 capsule evening,Medium,Nutricost,60-120 count,capsule,9600,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0270,FitCore Pre-Workout Caffeine,Performance,Muscle Gain,caffeine; beta-alanine; citrulline,30 min before workout,Medium,Cellucor,300g-500g,powder,11100,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.6
S0271,ActiveFuel Probiotic Complex Ultra,Digestive,General Wellness,lactobacillus; bifidobacterium,1 capsule before meal,Medium,Generic Digestive,60-120 count,capsule,6300,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0272,BioActive Pre-Workout Caffeine Ultra,Performance,Energy Boost,caffeine; beta-alanine; citrulline,30 min before workout,Medium,Applied Nutrition,300g-500g,powder,9300,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.4
S0273,ProNutra Creatine Monohydrate Advanced,Performance,Muscle Gain,creatine monohydrate,3-5g daily,Medium,Allmax Nutrition,300g-500g,powder,7500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,5
S0274,OptiWell Ashwagandha Basic,Herbal,Recovery,ashwagandha extract,1 capsule evening,Medium,Himalaya,60-120 count,capsule,11800,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0275,PureForm Electrolyte Mix Ultra,Hydration,Muscle Gain,sodium; potassium; magnesium,during workout,Medium,Generic Hydration,1 serving-300g,powder,4500,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.9
S0276,StrongLife Iron Supplement Ultra,Mineral,Energy Boost,iron ferrous bisglycinate,1 tablet between meals,Low,Nature Made,60-120 count,tablet,3700,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0277,CeyFit Vitamin D3 Pro,Vitamin,Bone Health,vitamin D3 cholecalciferol,1000-2000 IU with meal,High,Applied Nutrition,60-120 count,capsule,10800,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,5
S0278,CeyFit Iron Supplement Ultra,Mineral,Energy Boost,iron ferrous bisglycinate,1 tablet between meals,Medium,Generic Wellness,60-120 count,tablet,8000,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.8
S0279,OptiWell Electrolyte Mix Plus,Hydration,Endurance,sodium; potassium; magnesium,during workout,Low,Applied Nutrition,1 serving-300g,powder,6500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0280,ProNutra Calcium Magnesium Zinc Basic,Mineral,Immunity,calcium; magnesium; zinc,1 tablet after meal,Low,21st Century,60-120 count,tablet,2400,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0281,CeyFit Green Tea Extract Plus,Herbal,Weight Loss,green tea extract; caffeine,1 capsule morning,Low,Generic Herbal,60-120 count,capsule,4400,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.3
S0282,VitaLab Creatine Monohydrate Basic,Performance,Recovery,creatine monohydrate,3-5g daily,High,Nutricost,300g-500g,powder,22500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,5
S0283,ActiveFuel Casein Protein Advanced,Protein,Joint Support,casein protein,1 scoop before sleep,Medium,Mutant,2lb-5lb,powder,29000,25000-50000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4
S0284,WellGen Vitamin C,Vitamin,Immunity,ascorbic acid,1 tablet after meal,Low,Generic Wellness,60-120 count,tablet,4100,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0285,HealthPlus Beta-Alanine Advanced,Performance,Endurance,beta-alanine,2-3g daily,High,Generic Performance,300g-500g,powder,19100,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.5
S0286,FitCore Pre-Workout Caffeine Plus,Performance,Immunity,caffeine; beta-alanine; citrulline,30 min before workout,Medium,BSN,300g-500g,powder,13200,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0287,StrongLife Electrolyte Mix Ultra,Hydration,General Wellness,sodium; potassium; magnesium,during workout,Low,Generic Hydration,1 serving-300g,powder,2500,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0288,BioActive L-Carnitine Plus,Amino Acid,Weight Loss,L-carnitine,1 serving before workout,High,Applied Nutrition,300g-500g,powder,25000,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.7
S0289,OptiWell Electrolyte Mix Plus,Hydration,Endurance,sodium; potassium; magnesium,during workout,Low,ABE,1 serving-300g,powder,6500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.9
S0290,CeyFit Glucosamine Chondroitin Ultra,Joint,Joint Support,glucosamine; chondroitin,1 tablet with meal,High,Allmax Nutrition,60-120 count,tablet,15100,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4
S0291,ProNutra Collagen Peptides Advanced,Protein,Arm Muscle Growth,collagen peptides; vitamin C,1 scoop daily,High,Mutant,2lb-5lb,powder,9500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.6
S0292,StrongLife Beta-Alanine,Performance,Endurance,beta-alanine,2-3g daily,Low,Generic Performance,300g-500g,powder,4700,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0293,CeyFit Vitamin C,Vitamin,Immunity,ascorbic acid,1 tablet after meal,Low,Generic Wellness,60-120 count,tablet,4500,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.7
S0294,HealthPlus Vitamin C Plus,Vitamin,Immunity,ascorbic acid,1 tablet after meal,Low,21st Century,60-120 count,tablet,3700,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.9
S0295,WellGen Whey Protein Advanced,Protein,Muscle Gain,whey protein isolate; branched-chain amino acids,1 scoop after workout,Medium,Generic Sports Nutrition,2lb-5lb,powder,32500,25000-50000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.9
S0296,FitCore Turmeric Curcumin,Herbal,Joint Support,curcumin; black pepper extract,1 capsule with meal,Medium,Generic Herbal,60-120 count,capsule,11000,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.8
S0297,WellGen Calcium Magnesium Zinc Basic,Mineral,Bone Health,calcium; magnesium; zinc,1 tablet after meal,Low,NOW Foods,60-120 count,tablet,3000,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.4
S0298,WellGen Probiotic Complex Basic,Digestive,General Wellness,lactobacillus; bifidobacterium,1 capsule before meal,High,Nutricost,60-120 count,capsule,14000,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0299,ActiveFuel Whey Protein Pro,Protein,Muscle Gain,whey protein isolate; branched-chain amino acids,1 scoop after workout,Low,Rule 1,2lb-5lb,powder,29000,25000-50000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.4
S0300,BioActive Whey Protein,Protein,Muscle Gain,whey protein isolate; branched-chain amino acids,1 scoop after workout,Medium,Optimum Nutrition,2lb-5lb,powder,48000,25000-50000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.8
S0301,FitCore Probiotic Complex,Digestive,General Wellness,lactobacillus; bifidobacterium,1 capsule before meal,High,Generic Digestive,60-120 count,capsule,14500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4
S0302,OptiWell Turmeric Curcumin Basic,Herbal,General Wellness,curcumin; black pepper extract,1 capsule with meal,Medium,Himalaya,60-120 count,capsule,10500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,5
S0303,StrongLife Turmeric Curcumin Pro,Herbal,Joint Support,curcumin; black pepper extract,1 capsule with meal,Medium,Generic Herbal,60-120 count,capsule,6300,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0304,WellGen Beta-Alanine Advanced,Performance,Energy Boost,beta-alanine,2-3g daily,Low,Applied Nutrition,300g-500g,powder,4500,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0305,HealthPlus Electrolyte Mix Ultra,Hydration,Immunity,sodium; potassium; magnesium,during workout,Low,BioActive,1 serving-300g,powder,2500,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0306,OptiWell Creatine Monohydrate Advanced,Performance,Muscle Gain,creatine monohydrate,3-5g daily,Low,Cellucor,300g-500g,powder,14500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,5
S0307,WellGen BCAA,Amino Acid,Recovery,leucine; isoleucine; valine,5-10g during/after workout,Medium,Applied Nutrition,300g-500g,powder,12500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.4
S0308,CeyFit Vitamin C Ultra,Vitamin,Immunity,ascorbic acid,1 tablet after meal,Low,Generic Wellness,60-120 count,tablet,2300,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0309,CeyFit Glucosamine Chondroitin Plus,Joint,Joint Support,glucosamine; chondroitin,1 tablet with meal,High,Allmax Nutrition,60-120 count,tablet,23400,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0310,CeyFit Vitamin C Ultra,Vitamin,Immunity,ascorbic acid,1 tablet after meal,Low,Applied Nutrition,60-120 count,tablet,2100,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0311,CeyFit Vitamin D3 Plus,Vitamin,Muscle Gain,vitamin D3 cholecalciferol,1000-2000 IU with meal,Medium,Applied Nutrition,60-120 count,capsule,7000,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.9
S0312,HealthPlus Turmeric Curcumin Pro,Herbal,Joint Support,curcumin; black pepper extract,1 capsule with meal,High,Nutricost,60-120 count,capsule,21800,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0313,NutriMax Multivitamin Plus,Vitamin,General Wellness,vitamin A; vitamin C; vitamin E; zinc; selenium,1 tablet with breakfast,Medium,21st Century,60-120 count,tablet,6500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0314,HealthPlus Green Tea Extract Pro,Herbal,Weight Loss,green tea extract; caffeine,1 capsule morning,Medium,Himalaya,60-120 count,capsule,6700,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.4
S0315,ActiveFuel Ashwagandha Advanced,Herbal,Recovery,ashwagandha extract,1 capsule evening,Medium,Nutricost,60-120 count,capsule,11700,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.4
S0316,NutriMax Glucosamine Chondroitin,Joint,Joint Support,glucosamine; chondroitin,1 tablet with meal,High,Nutricost,60-120 count,tablet,15600,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.4
S0317,ActiveFuel Electrolyte Mix,Hydration,Endurance,sodium; potassium; magnesium,during workout,Medium,Applied Nutrition,1 serving-300g,powder,4500,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0318,FitCore Pre-Workout Caffeine Basic,Performance,Energy Boost,caffeine; beta-alanine; citrulline,30 min before workout,High,Nutricost,300g-500g,powder,22700,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.9
S0319,OptiWell Omega-3 Fish Oil Plus,Fatty Acid,Heart Health,omega-3 EPA DHA; fish oil,1 softgel with meal,Low,Generic Omega,60-120 count,softgel,15500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0320,NutriMax Vitamin D3 Plus,Vitamin,Weight Loss,vitamin D3 cholecalciferol,1000-2000 IU with meal,Low,Generic Wellness,60-120 count,capsule,4400,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0321,ProNutra Probiotic Complex Basic,Digestive,General Wellness,lactobacillus; bifidobacterium,1 capsule before meal,High,Generic Digestive,60-120 count,capsule,15000,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.7
S0322,BioActive Ashwagandha,Herbal,Recovery,ashwagandha extract,1 capsule evening,Low,Nutricost,60-120 count,capsule,2700,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3
S0323,ProNutra Glucosamine Chondroitin Pro,Joint,Joint Support,glucosamine; chondroitin,1 tablet with meal,Low,NOW Foods,60-120 count,tablet,5700,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0324,NutriMax L-Carnitine Basic,Amino Acid,Hair and Skin,L-carnitine,1 serving before workout,Medium,Generic Amino,300g-500g,powder,8800,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.8
S0325,PureForm Vitamin D3 Advanced,Vitamin,Bone Health,vitamin D3 cholecalciferol,1000-2000 IU with meal,Medium,Nature Made,60-120 count,capsule,7200,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.7
S0326,BioActive Vitamin D3 Pro,Vitamin,Bone Health,vitamin D3 cholecalciferol,1000-2000 IU with meal,Medium,21st Century,60-120 count,capsule,8800,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0327,ProNutra Pre-Workout Caffeine Pro,Performance,Energy Boost,caffeine; beta-alanine; citrulline,30 min before workout,Medium,Allmax Nutrition,300g-500g,powder,13900,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0328,CeyFit Vitamin C Pro,Vitamin,Energy Boost,ascorbic acid,1 tablet after meal,Low,21st Century,60-120 count,tablet,4000,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0329,NutriMax Collagen Peptides Ultra,Protein,Hair and Skin,collagen peptides; vitamin C,1 scoop daily,High,Generic Sports Nutrition,2lb-5lb,powder,9500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.7
S0330,OptiWell BCAA Plus,Amino Acid,Recovery,leucine; isoleucine; valine,5-10g during/after workout,Medium,Generic Amino,300g-500g,powder,11500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0331,CeyFit Pre-Workout Caffeine Basic,Performance,Energy Boost,caffeine; beta-alanine; citrulline,30 min before workout,Medium,Nutricost,300g-500g,powder,10200,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0332,ActiveFuel Electrolyte Mix Advanced,Hydration,Hair and Skin,sodium; potassium; magnesium,during workout,Low,Applied Nutrition,1 serving-300g,powder,4500,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0333,BioActive L-Carnitine Plus,Amino Acid,Weight Loss,L-carnitine,1 serving before workout,Medium,Generic Amino,300g-500g,powder,9500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.6
S0334,HealthPlus Multivitamin Advanced,Vitamin,General Wellness,vitamin A; vitamin C; vitamin E; zinc; selenium,1 tablet with breakfast,High,Nature Made,60-120 count,tablet,15600,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0335,ProNutra Turmeric Curcumin Plus,Herbal,Joint Support,curcumin; black pepper extract,1 capsule with meal,Medium,Nutricost,60-120 count,capsule,7500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0336,WellGen Casein Protein,Protein,Recovery,casein protein,1 scoop before sleep,Low,Rule 1,2lb-5lb,powder,18500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
