guidance_id,bmi_category,food_name,food_group,calories_kcal,carbs_g,sugar_g,sodium_mg,suitability_score,recommendation_level,guidance_note
BFG00464,Obese,Coconut Roti,grain,300,42,4,210,5,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00465,Underweight,Lentil Curry,legume,180,28,3,260,87,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00466,Overweight,Beer,alcohol beverage,154,13,0,14,10,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00467,Obese,Chicken Curry,protein,260,6,2,420,25,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00468,Overweight,Lentil Curry,legume,180,28,3,260,72,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00469,Healthy,Apple,fruit,95,25,19,2,70,Use with caution,Maintain balanced portions and variety.
BFG00470,Underweight,Beer,alcohol beverage,154,13,0,14,25,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00471,Underweight,White Rice,grain,240,53,0,2,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00472,Overweight,Beer,alcohol beverage,154,13,0,14,10,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00473,Overweight,Oats,grain,160,28,1,2,85,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00474,Overweight,Apple,fruit,95,25,19,2,60,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00475,Overweight,Cucumber Salad,vegetable,25,5,2,5,106,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00476,Obese,Coconut Roti,grain,300,42,4,210,5,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00477,Underweight,Papaya,fruit,60,15,10,4,82,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00478,Obese,Oats,grain,160,28,1,2,85,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00479,Obese,Avocado,fruit,240,12,1,10,40,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00480,Overweight,White Rice,grain,240,53,0,2,25,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00481,Healthy,Papaya,fruit,60,15,10,4,82,Recommended,Maintain balanced portions and variety.
BFG00482,Overweight,Green Tea,beverage,2,0,0,5,105,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00483,Healthy,Coconut Roti,grain,300,42,4,210,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00484,Obese,Spinach Curry,leafy vegetable,90,8,2,120,80,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00485,Underweight,Orange Juice,beverage,110,26,21,2,72,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00486,Obese,Fish Curry,protein,220,4,1,380,30,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00487,Obese,Lentil Curry,legume,180,28,3,260,72,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00488,Healthy,Cucumber Salad,vegetable,25,5,2,5,96,Recommended,Maintain balanced portions and variety.
BFG00489,Overweight,White Rice,grain,240,53,0,2,25,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00490,Healthy,Spinach Curry,leafy vegetable,90,8,2,120,65,Use with caution,Maintain balanced portions and variety.
BFG00491,Underweight,Chicken Curry,protein,260,6,2,420,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00492,Underweight,White Rice,grain,240,53,0,2,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00493,Underweight,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00494,Obese,Apple,fruit,95,25,19,2,55,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00495,Obese,Lentil Curry,legume,180,28,3,260,72,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00496,Overweight,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00497,Overweight,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00498,Overweight,Green Tea,beverage,2,0,0,5,105,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00499,Healthy,Oats,grain,160,28,1,2,85,Recommended,Maintain balanced portions and variety.
BFG00500,Obese,Fish Curry,protein,220,4,1,380,30,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00501,Underweight,Banana,fruit,105,27,14,1,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00502,Healthy,Banana,fruit,105,27,14,1,60,Use with caution,Maintain balanced portions and variety.
BFG00503,Healthy,Oats,grain,160,28,1,2,85,Recommended,Maintain balanced portions and variety.
BFG00504,Obese,Green Tea,beverage,2,0,0,5,110,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00505,Underweight,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00506,Healthy,Cheese,dairy,110,1,0,180,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00507,Underweight,Beer,alcohol beverage,154,13,0,14,25,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00508,Healthy,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,Maintain balanced portions and variety.
BFG00509,Overweight,Ceylon Tea,beverage,5,1,0,2,103,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00510,Healthy,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,Maintain balanced portions and variety.
BFG00511,Healthy,Chicken Curry,protein,260,6,2,420,55,Use with caution,Maintain balanced portions and variety.
BFG00512,Overweight,White Rice,grain,240,53,0,2,25,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00513,Healthy,Cheese,dairy,110,1,0,180,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00514,Obese,Orange Juice,beverage,110,26,21,2,42,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00515,Underweight,Cucumber Salad,vegetable,25,5,2,5,86,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00516,Overweight,Coconut Roti,grain,300,42,4,210,15,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00517,Obese,Cucumber Salad,vegetable,25,5,2,5,111,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00518,Overweight,Ceylon Tea,beverage,5,1,0,2,103,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00519,Underweight,Apple,fruit,95,25,19,2,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00520,Healthy,Beer,alcohol beverage,154,13,0,14,10,Limit/Avoid,Maintain balanced portions and variety.
BFG00521,Healthy,Cucumber Salad,vegetable,25,5,2,5,96,Recommended,Maintain balanced portions and variety.
BFG00522,Healthy,Avocado,fruit,240,12,1,10,70,Use with caution,Maintain balanced portions and variety.
BFG00523,Overweight,Apple,fruit,95,25,19,2,60,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00524,Overweight,Spinach Curry,leafy vegetable,90,8,2,120,75,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00525,Overweight,Oats,grain,160,28,1,2,85,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00526,Underweight,Avocado,fruit,240,12,1,10,85,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00527,Underweight,Apple,fruit,95,25,19,2,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00528,Obese,Papaya,fruit,60,15,10,4,97,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00529,Healthy,Orange Juice,beverage,110,26,21,2,72,Use with caution,Maintain balanced portions and variety.
BFG00530,Healthy,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,Maintain balanced portions and variety.
BFG00531,Obese,Beer,alcohol beverage,154,13,0,14,10,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00532,Underweight,Papaya,fruit,60,15,10,4,82,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00533,Underweight,Cheese,dairy,110,1,0,180,35,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00534,Underweight,Grapefruit Juice,fruit beverage,96,23,22,2,8,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00535,Healthy,Watermelon Juice,beverage,80,20,16,3,78,Recommended,Maintain balanced portions and variety.
BFG00536,Obese,Coconut Roti,grain,300,42,4,210,5,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00537,Underweight,Avocado,fruit,240,12,1,10,85,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00538,Obese,Spinach Curry,leafy vegetable,90,8,2,120,80,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00539,Underweight,Banana,fruit,105,27,14,1,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00540,Underweight,Red Rice,grain,210,45,1,5,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00541,Overweight,Cucumber Salad,vegetable,25,5,2,5,106,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00542,Healthy,Avocado,fruit,240,12,1,10,70,Use with caution,Maintain balanced portions and variety.
BFG00543,Healthy,Papaya,fruit,60,15,10,4,82,Recommended,Maintain balanced portions and variety.
BFG00544,Obese,Banana,fruit,105,27,14,1,60,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00545,Obese,Papaya,fruit,60,15,10,4,97,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00546,Overweight,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00547,Obese,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00548,Healthy,Ceylon Tea,beverage,5,1,0,2,93,Recommended,Maintain balanced portions and variety.
BFG00549,Overweight,Fish Curry,protein,220,4,1,380,60,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00550,Healthy,Red Rice,grain,210,45,1,5,55,Use with caution,Maintain balanced portions and variety.
BFG00551,Underweight,Banana,fruit,105,27,14,1,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00552,Healthy,Apple,fruit,95,25,19,2,70,Use with caution,Maintain balanced portions and variety.
BFG00553,Healthy,Lentil Curry,legume,180,28,3,260,72,Use with caution,Maintain balanced portions and variety.
BFG00554,Overweight,Avocado,fruit,240,12,1,10,50,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00555,Healthy,Beer,alcohol beverage,154,13,0,14,10,Limit/Avoid,Maintain balanced portions and variety.
BFG00556,Healthy,Apple,fruit,95,25,19,2,70,Use with caution,Maintain balanced portions and variety.
BFG00557,Healthy,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,Maintain balanced portions and variety.
BFG00558,Underweight,Papaya,fruit,60,15,10,4,82,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00559,Healthy,Beer,alcohol beverage,154,13,0,14,10,Limit/Avoid,Maintain balanced portions and variety.
BFG00560,Overweight,Cucumber Salad,vegetable,25,5,2,5,106,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00561,Healthy,Cheese,dairy,110,1,0,180,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00562,Obese,Coconut Roti,grain,300,42,4,210,5,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00563,Overweight,Watermelon Juice,beverage,80,20,16,3,88,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00564,Underweight,Oats,grain,160,28,1,2,100,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00565,Underweight,Red Rice,grain,210,45,1,5,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00566,Healthy,Apple,fruit,95,25,19,2,70,Use with caution,Maintain balanced portions and variety.
BFG00567,Overweight,Papaya,fruit,60,15,10,4,92,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00568,Healthy,Ceylon Tea,beverage,5,1,0,2,93,Recommended,Maintain balanced portions and variety.
BFG00569,Underweight,Watermelon Juice,beverage,80,20,16,3,78,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00570,Obese,Banana,fruit,105,27,14,1,60,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00571,Overweight,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00572,Underweight,Avocado,fruit,240,12,1,10,85,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00573,Overweight,Banana,fruit,105,27,14,1,70,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00574,Overweight,Banana,fruit,105,27,14,1,70,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00575,Underweight,Orange Juice,beverage,110,26,21,2,72,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00576,Healthy,Watermelon Juice,beverage,80,20,16,3,78,Recommended,Maintain balanced portions and variety.
BFG00577,Underweight,Grapefruit Juice,fruit beverage,96,23,22,2,8,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00578,Healthy,Ceylon Tea,beverage,5,1,0,2,93,Recommended,Maintain balanced portions and variety.
BFG00579,Overweight,Cucumber Salad,vegetable,25,5,2,5,106,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00580,Obese,Spinach Curry,leafy vegetable,90,8,2,120,80,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00581,Healthy,Avocado,fruit,240,12,1,10,70,Use with caution,Maintain balanced portions and variety.
BFG00582,Healthy,Spinach Curry,leafy vegetable,90,8,2,120,65,Use with caution,Maintain balanced portions and variety.
BFG00583,Obese,White Rice,grain,240,53,0,2,15,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00584,Overweight,White Rice,grain,240,53,0,2,25,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00585,Overweight,Fish Curry,protein,220,4,1,380,60,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00586,Underweight,Spinach Curry,leafy vegetable,90,8,2,120,65,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00587,Obese,Green Tea,beverage,2,0,0,5,110,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00588,Overweight,Watermelon Juice,beverage,80,20,16,3,88,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00589,Healthy,Ceylon Tea,beverage,5,1,0,2,93,Recommended,Maintain balanced portions and variety.
BFG00590,Underweight,Avocado,fruit,240,12,1,10,85,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00591,Underweight,Beer,alcohol beverage,154,13,0,14,25,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00592,Obese,Apple,fruit,95,25,19,2,55,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00593,Healthy,Papaya,fruit,60,15,10,4,82,Recommended,Maintain balanced portions and variety.
BFG00594,Overweight,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00595,Overweight,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00596,Healthy,Cheese,dairy,110,1,0,180,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00597,Healthy,Green Tea,beverage,2,0,0,5,95,Recommended,Maintain balanced portions and variety.
BFG00598,Obese,Cheese,dairy,110,1,0,180,35,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00599,Healthy,Coconut Roti,grain,300,42,4,210,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00600,Obese,Banana,fruit,105,27,14,1,60,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00601,Underweight,Banana,fruit,105,27,14,1,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00602,Underweight,Lentil Curry,legume,180,28,3,260,87,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00603,Overweight,Chicken Curry,protein,260,6,2,420,35,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00604,Obese,Chicken Curry,protein,260,6,2,420,25,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00605,Obese,Spinach Curry,leafy vegetable,90,8,2,120,80,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00606,Overweight,Cucumber Salad,vegetable,25,5,2,5,106,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00607,Obese,Watermelon Juice,beverage,80,20,16,3,63,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00608,Underweight,Cucumber Salad,vegetable,25,5,2,5,86,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00609,Underweight,Lentil Curry,legume,180,28,3,260,87,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00610,Healthy,Fish Curry,protein,220,4,1,380,60,Use with caution,Maintain balanced portions and variety.
BFG00611,Underweight,Watermelon Juice,beverage,80,20,16,3,78,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00612,Overweight,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00613,Healthy,Lentil Curry,legume,180,28,3,260,72,Use with caution,Maintain balanced portions and variety.
BFG00614,Healthy,Spinach Curry,leafy vegetable,90,8,2,120,65,Use with caution,Maintain balanced portions and variety.
BFG00615,Healthy,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,Maintain balanced portions and variety.
BFG00616,Healthy,Orange Juice,beverage,110,26,21,2,72,Use with caution,Maintain balanced portions and variety.
BFG00617,Overweight,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00618,Healthy,Cheese,dairy,110,1,0,180,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00619,Healthy,Fish Curry,protein,220,4,1,380,60,Use with caution,Maintain balanced portions and variety.
BFG00620,Healthy,Spinach Curry,leafy vegetable,90,8,2,120,65,Use with caution,Maintain balanced portions and variety.
BFG00621,Overweight,Chicken Curry,protein,260,6,2,420,35,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00622,Obese,Watermelon Juice,beverage,80,20,16,3,63,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00623,Overweight,Spinach Curry,leafy vegetable,90,8,2,120,75,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00624,Overweight,Apple,fruit,95,25,19,2,60,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00625,Obese,White Rice,grain,240,53,0,2,15,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00626,Healthy,Banana,fruit,105,27,14,1,60,Use with caution,Maintain balanced portions and variety.
BFG00627,Overweight,White Rice,grain,240,53,0,2,25,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00628,Overweight,Oats,grain,160,28,1,2,85,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00629,Underweight,Ceylon Tea,beverage,5,1,0,2,83,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00630,Healthy,Coconut Roti,grain,300,42,4,210,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00631,Underweight,Cucumber Salad,vegetable,25,5,2,5,86,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00632,Obese,Fish Curry,protein,220,4,1,380,30,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00633,Underweight,Banana,fruit,105,27,14,1,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00634,Underweight,Orange Juice,beverage,110,26,21,2,72,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00635,Underweight,Orange Juice,beverage,110,26,21,2,72,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00636,Healthy,Oats,grain,160,28,1,2,85,Recommended,Maintain balanced portions and variety.
BFG00637,Underweight,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00638,Overweight,Ceylon Tea,beverage,5,1,0,2,103,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00639,Healthy,Orange Juice,beverage,110,26,21,2,72,Use with caution,Maintain balanced portions and variety.
BFG00640,Overweight,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00641,Underweight,Fish Curry,protein,220,4,1,380,75,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00642,Underweight,Cucumber Salad,vegetable,25,5,2,5,86,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00643,Obese,Watermelon Juice,beverage,80,20,16,3,63,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00644,Overweight,Red Rice,grain,210,45,1,5,55,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00645,Obese,White Rice,grain,240,53,0,2,15,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00646,Obese,Coconut Roti,grain,300,42,4,210,5,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00647,Underweight,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00648,Healthy,Chicken Curry,protein,260,6,2,420,55,Use with caution,Maintain balanced portions and variety.
BFG00649,Overweight,White Rice,grain,240,53,0,2,25,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00650,Healthy,Ceylon Tea,beverage,5,1,0,2,93,Recommended,Maintain balanced portions and variety.
BFG00651,Healthy,White Rice,grain,240,53,0,2,45,Use with caution,Maintain balanced portions and variety.
BFG00652,Underweight,Chicken Curry,protein,260,6,2,420,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00653,Obese,Grapefruit Juice,fruit beverage,96,23,22,2,0,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00654,Healthy,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,Maintain balanced portions and variety.
BFG00655,Overweight,Spinach Curry,leafy vegetable,90,8,2,120,75,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00656,Overweight,Beer,alcohol beverage,154,13,0,14,10,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00657,Underweight,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00658,Obese,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00659,Underweight,Coconut Roti,grain,300,42,4,210,50,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00660,Healthy,Ceylon Tea,beverage,5,1,0,2,93,Recommended,Maintain balanced portions and variety.
BFG00661,Healthy,Papaya,fruit,60,15,10,4,82,Recommended,Maintain balanced portions and variety.
BFG00662,Healthy,Beer,alcohol beverage,154,13,0,14,10,Limit/Avoid,Maintain balanced portions and variety.
BFG00663,Underweight,Green Tea,beverage,2,0,0,5,85,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00664,Underweight,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00665,Overweight,Beer,alcohol beverage,154,13,0,14,10,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00666,Overweight,Coconut Roti,grain,300,42,4,210,15,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00667,Underweight,Banana,fruit,105,27,14,1,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00668,Overweight,Fish Curry,protein,220,4,1,380,60,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00669,Obese,Lentil Curry,legume,180,28,3,260,72,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00670,Healthy,White Rice,grain,240,53,0,2,45,Use with caution,Maintain balanced portions and variety.
BFG00671,Healthy,White Rice,grain,240,53,0,2,45,Use with caution,Maintain balanced portions and variety.
BFG00672,Healthy,Lentil Curry,legume,180,28,3,260,72,Use with caution,Maintain balanced portions and variety.
BFG00673,Underweight,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00674,Underweight,Watermelon Juice,beverage,80,20,16,3,78,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00675,Healthy,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,Maintain balanced portions and variety.
BFG00676,Underweight,Oats,grain,160,28,1,2,100,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00677,Underweight,Papaya,fruit,60,15,10,4,82,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00678,Overweight,Fish Curry,protein,220,4,1,380,60,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00679,Underweight,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00680,Overweight,Banana,fruit,105,27,14,1,70,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00681,Healthy,Papaya,fruit,60,15,10,4,82,Recommended,Maintain balanced portions and variety.
BFG00682,Obese,Cucumber Salad,vegetable,25,5,2,5,111,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00683,Overweight,Green Tea,beverage,2,0,0,5,105,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00684,Underweight,Fish Curry,protein,220,4,1,380,75,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00685,Overweight,Cucumber Salad,vegetable,25,5,2,5,106,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00686,Healthy,Watermelon Juice,beverage,80,20,16,3,78,Recommended,Maintain balanced portions and variety.
BFG00687,Overweight,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00688,Underweight,Coconut Roti,grain,300,42,4,210,50,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00689,Underweight,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00690,Underweight,Orange Juice,beverage,110,26,21,2,72,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00691,Healthy,Chicken Curry,protein,260,6,2,420,55,Use with caution,Maintain balanced portions and variety.
BFG00692,Healthy,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,Maintain balanced portions and variety.
BFG00693,Obese,Cucumber Salad,vegetable,25,5,2,5,111,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00694,Underweight,Fish Curry,protein,220,4,1,380,75,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00695,Overweight,Ceylon Tea,beverage,5,1,0,2,103,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00696,Obese,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00697,Obese,White Rice,grain,240,53,0,2,15,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
