drug_name,drug_contains,food_name,severity_silver,reason_tags_silver,severity_gold,reason_tags_gold,reference_source
Amlopres-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),"BISCUIT, CHOCOLATE, FULL COATED",1,high_fat_empty_stomach,,,
AF Kit Tablet,Azithromycin (1000mg)+ Ornidazole (750mg)+ Fluconazole (150mg),"BRINJAL, TEMPERED",0,,,,
Andol 0.5mg Tablet,Haloperidol (0.5mg),Kasippu,2,cns_alcohol,,,
Armotraz Tablet,Anastrozole (1mg),Turkey Bacon (2 slices),0,,,,
Amixide-H Tablet,Amitriptyline (12.5mg)+ Chlordiazepoxide (5mg),Kasippu,2,cns_alcohol,,,
Aztor 10 Tablet,Atorvastatin (10mg),Tiramisu (1 slice),1,high_fat_empty_stomach,,,
Amitone 10mg Tablet,Amitriptyline (10mg),Ginger Beer,2,cns_alcohol,,,
Acivir Cream,Acyclovir (5% w/w),Whole Milk,0,,,,
Akt 4 Kit,Isoniazid (300mg)+ Rifampicin (450mg)+ Ethambutol (800mg)+ Pyrazinamide (750mg),"BISCUIT, SHORTIES",1,high_fat_empty_stomach,,,
Azee 500 Tablet,Azithromycin (500mg),White sugar,0,,,,
Avanair 100 Tablet,Avanafil (100mg),"CAKE,SPONGE",1,high_fat_empty_stomach,,,
Amlodac 5 Tablet,Amlodipine (5mg),Green Leaf Sambol,0,,,,
Ativan 1mg Tablet,Lorazepam (1mg),Biscotti (1 cookie),0,,,,
Atorlip-F Tablet,Atorvastatin (10mg)+ Fenofibrate (145mg),"HALMASSA ANCHOVY (SPRAT), FRESH, TEMPERED, W/ COCONUT MILK",1,high_fat_empty_stomach,,,
Avanair 100 Tablet,Avanafil (100mg),Dressing (French),1,high_fat_empty_stomach,,,
