interaction_id,medicine_1_name,medicine_1_active_ingredient,medicine_1_class,medicine_2_name,medicine_2_active_ingredient,medicine_2_class,interaction_risk,severity,risk_score,mechanism,recommendation,source_type,evidence_level
DDI01308,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Clopidogrel 75mg Tablet,Clopidogrel,Antiplatelet,Safe,Low,6,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01309,Omeprazole 20mg Capsule,Omeprazole,PPI,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Safe,Low,14,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01310,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Safe,Low,7,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01311,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Safe,Low,35,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI01312,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Sertraline 50mg Tablet,Sertraline,SSRI,Safe,Low,18,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01313,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Losar 50 Tablet,Losartan,ARB,Safe,Low,28,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI01314,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Losar 50 Tablet,Losartan,ARB,Moderate,Moderate,46,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,medium
DDI01315,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Safe,Low,31,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01316,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Diazepam 5mg Tablet,Diazepam,Benzodiazepine,Safe,Low,5,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI01317,Omeprazole 20mg Capsule,Omeprazole,PPI,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Safe,Low,6,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI01318,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Ibu 400 Tablet,Ibuprofen,NSAID,Safe,Low,25,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI01319,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Safe,Low,17,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01320,Omeprazole 20mg Capsule,Omeprazole,PPI,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Safe,Low,25,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01321,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Simva 20 Tablet,Simvastatin,Statin,Safe,Low,6,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01322,Sertraline 50mg Tablet,Sertraline,SSRI,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Safe,Low,8,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI01323,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Moderate,Moderate,61,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,high
DDI01324,Omeprazole 20mg Capsule,Omeprazole,PPI,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Safe,Low,9,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01325,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Atorva 20 Tablet,Atorvastatin,Statin,Safe,Low,33,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01326,Ibu 400 Tablet,Ibuprofen,NSAID,Losar 50 Tablet,Losartan,ARB,Safe,Low,31,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01327,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Carbamazepine 200mg Tablet,Carbamazepine,Anticonvulsant,Moderate,Moderate,40,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,medium
DDI01328,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Hydrochlorothiazide 25mg Tablet,Hydrochlorothiazide,Diuretic,Safe,Low,28,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01329,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Safe,Low,35,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01330,Thyrox 50mcg Tablet,Levothyroxine,Thyroid hormone,Sertraline 50mg Tablet,Sertraline,SSRI,Safe,Low,19,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01331,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Atorva 20 Tablet,Atorvastatin,Statin,Safe,Low,31,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01332,Furosemide 40mg Tablet,Furosemide,Diuretic,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Moderate,Moderate,70,Diuretic-related electrolyte changes may increase digoxin toxicity risk,Monitor electrolytes and symptoms,rule_based,low
DDI01333,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Omeprazole 20mg Capsule,Omeprazole,PPI,Safe,Low,24,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01334,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Safe,Low,2,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01335,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Carbamazepine 200mg Tablet,Carbamazepine,Anticonvulsant,Safe,Low,1,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01336,Atorva 20 Tablet,Atorvastatin,Statin,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Safe,Low,22,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01337,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Safe,Low,15,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01338,Metformin 500mg Tablet,Metformin,Antidiabetic,Hydrochlorothiazide 25mg Tablet,Hydrochlorothiazide,Diuretic,Safe,Low,19,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01339,Thyrox 50mcg Tablet,Levothyroxine,Thyroid hormone,Warf 5 Tablet,Warfarin,Anticoagulant,Safe,Low,2,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01340,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Safe,Low,26,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01341,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Sertraline 50mg Tablet,Sertraline,SSRI,Safe,Low,20,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01342,Omeprazole 20mg Capsule,Omeprazole,PPI,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Safe,Low,31,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI01343,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Ibu 400 Tablet,Ibuprofen,NSAID,Safe,Low,32,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01344,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Losar 50 Tablet,Losartan,ARB,Safe,Low,27,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01345,Insulin Regular,Insulin,Antidiabetic,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Moderate,Moderate,57,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,medium
DDI01346,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Safe,Low,25,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI01347,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Metformin 500mg Tablet,Metformin,Antidiabetic,Safe,Low,6,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01348,Metformin 500mg Tablet,Metformin,Antidiabetic,Clopidogrel 75mg Tablet,Clopidogrel,Antiplatelet,Safe,Low,30,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01349,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Carbamazepine 200mg Tablet,Carbamazepine,Anticonvulsant,Safe,Low,19,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01350,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Furosemide 40mg Tablet,Furosemide,Diuretic,Safe,Low,26,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01351,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Diazepam 5mg Tablet,Diazepam,Benzodiazepine,Safe,Low,35,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI01352,Insulin Regular,Insulin,Antidiabetic,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Safe,Low,11,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01353,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Safe,Low,29,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01354,Furosemide 40mg Tablet,Furosemide,Diuretic,Carbamazepine 200mg Tablet,Carbamazepine,Anticonvulsant,Safe,Low,27,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI01355,Ibu 400 Tablet,Ibuprofen,NSAID,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Safe,Low,15,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI01356,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Safe,Low,27,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01357,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Moderate,Moderate,53,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,medium
DDI01358,Insulin Regular,Insulin,Antidiabetic,Thyrox 50mcg Tablet,Levothyroxine,Thyroid hormone,Safe,Low,15,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01359,Atorva 20 Tablet,Atorvastatin,Statin,Simva 20 Tablet,Simvastatin,Statin,Safe,Low,15,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01360,Sertraline 50mg Tablet,Sertraline,SSRI,Furosemide 40mg Tablet,Furosemide,Diuretic,Moderate,Moderate,60,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,high
DDI01361,Thyrox 50mcg Tablet,Levothyroxine,Thyroid hormone,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Safe,Low,16,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01362,Furosemide 40mg Tablet,Furosemide,Diuretic,Thyrox 50mcg Tablet,Levothyroxine,Thyroid hormone,Safe,Low,2,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01363,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Moderate,Moderate,59,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,high
DDI01364,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Moderate,Moderate,52,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,high
DDI01365,Atorva 20 Tablet,Atorvastatin,Statin,Clopidogrel 75mg Tablet,Clopidogrel,Antiplatelet,Safe,Low,7,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01366,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Metformin 500mg Tablet,Metformin,Antidiabetic,Safe,Low,7,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01367,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Clopidogrel 75mg Tablet,Clopidogrel,Antiplatelet,Safe,Low,15,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01368,Simva 20 Tablet,Simvastatin,Statin,Atorva 20 Tablet,Atorvastatin,Statin,Safe,Low,17,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01369,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Safe,Low,31,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01370,Atorva 20 Tablet,Atorvastatin,Statin,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Safe,Low,30,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01371,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Carbamazepine 200mg Tablet,Carbamazepine,Anticonvulsant,Moderate,Moderate,55,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,medium
DDI01372,Warf 5 Tablet,Warfarin,Anticoagulant,Insulin Regular,Insulin,Antidiabetic,Moderate,Moderate,63,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,low
DDI01373,Hydrochlorothiazide 25mg Tablet,Hydrochlorothiazide,Diuretic,Carbamazepine 200mg Tablet,Carbamazepine,Anticonvulsant,Safe,Low,16,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01374,Insulin Regular,Insulin,Antidiabetic,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Safe,Low,7,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01375,Omeprazole 20mg Capsule,Omeprazole,PPI,Warf 5 Tablet,Warfarin,Anticoagulant,Moderate,Moderate,48,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,high
DDI01376,Hydrochlorothiazide 25mg Tablet,Hydrochlorothiazide,Diuretic,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Safe,Low,19,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI01377,Hydrochlorothiazide 25mg Tablet,Hydrochlorothiazide,Diuretic,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Safe,Low,26,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01378,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Metformin 500mg Tablet,Metformin,Antidiabetic,Moderate,Moderate,55,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,medium
DDI01379,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Moderate,Moderate,45,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,low
DDI01380,Metformin 500mg Tablet,Metformin,Antidiabetic,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Safe,Low,35,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01381,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Warf 5 Tablet,Warfarin,Anticoagulant,Safe,Low,11,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01382,Simva 20 Tablet,Simvastatin,Statin,Warf 5 Tablet,Warfarin,Anticoagulant,Safe,Low,19,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01383,Metformin 500mg Tablet,Metformin,Antidiabetic,Atorva 20 Tablet,Atorvastatin,Statin,Safe,Low,33,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI01384,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Safe,Low,20,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01385,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Safe,Low,11,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01386,Ibu 400 Tablet,Ibuprofen,NSAID,Metformin 500mg Tablet,Metformin,Antidiabetic,Safe,Low,11,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01387,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Safe,Low,1,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI01388,Insulin Regular,Insulin,Antidiabetic,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Safe,Low,5,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01389,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Moderate,Moderate,52,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,low
DDI01390,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Simva 20 Tablet,Simvastatin,Statin,Safe,Low,23,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI01391,Atorva 20 Tablet,Atorvastatin,Statin,Warf 5 Tablet,Warfarin,Anticoagulant,Safe,Low,27,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01392,Sertraline 50mg Tablet,Sertraline,SSRI,Atorva 20 Tablet,Atorvastatin,Statin,Safe,Low,13,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01393,Losar 50 Tablet,Losartan,ARB,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Safe,Low,8,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01394,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Ibu 400 Tablet,Ibuprofen,NSAID,Moderate,Moderate,63,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,medium
DDI01395,Thyrox 50mcg Tablet,Levothyroxine,Thyroid hormone,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Safe,Low,1,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01396,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Safe,Low,15,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01397,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Insulin Regular,Insulin,Antidiabetic,Safe,Low,0,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01398,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Moderate,Moderate,61,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,low
DDI01399,Omeprazole 20mg Capsule,Omeprazole,PPI,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Safe,Low,16,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI01400,Furosemide 40mg Tablet,Furosemide,Diuretic,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Safe,Low,15,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01401,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Moderate,Moderate,40,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,low
DDI01402,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Omeprazole 20mg Capsule,Omeprazole,PPI,Safe,Low,25,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01403,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Furosemide 40mg Tablet,Furosemide,Diuretic,Safe,Low,11,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI01404,Diazepam 5mg Tablet,Diazepam,Benzodiazepine,Sertraline 50mg Tablet,Sertraline,SSRI,Moderate,Moderate,44,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,medium
DDI01405,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Diazepam 5mg Tablet,Diazepam,Benzodiazepine,Safe,Low,16,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01406,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Simva 20 Tablet,Simvastatin,Statin,Safe,Low,17,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01407,Losar 50 Tablet,Losartan,ARB,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Moderate,Moderate,71,Dual RAAS blockade may increase kidney/potassium risk,Avoid routine combination unless specialist-directed,synthetic_model,low
DDI01408,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Moderate,Moderate,50,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,high
DDI01409,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Moderate,Moderate,57,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,high
DDI01410,Ibu 400 Tablet,Ibuprofen,NSAID,Simva 20 Tablet,Simvastatin,Statin,Safe,Low,11,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01411,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Thyrox 50mcg Tablet,Levothyroxine,Thyroid hormone,Safe,Low,27,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01412,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Safe,Low,35,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01413,Sertraline 50mg Tablet,Sertraline,SSRI,Atorva 20 Tablet,Atorvastatin,Statin,Moderate,Moderate,43,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,high
DDI01414,Ibu 400 Tablet,Ibuprofen,NSAID,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Safe,Low,10,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01415,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Safe,Low,0,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01416,Hydrochlorothiazide 25mg Tablet,Hydrochlorothiazide,Diuretic,Metformin 500mg Tablet,Metformin,Antidiabetic,Safe,Low,31,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI01417,Warf 5 Tablet,Warfarin,Anticoagulant,Losar 50 Tablet,Losartan,ARB,Safe,Low,7,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI01418,Clopidogrel 75mg Tablet,Clopidogrel,Antiplatelet,Hydrochlorothiazide 25mg Tablet,Hydrochlorothiazide,Diuretic,Moderate,Moderate,44,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,high
DDI01419,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Safe,Low,30,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI01420,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Safe,Low,21,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI01421,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Safe,Low,8,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI01422,Carbamazepine 200mg Tablet,Carbamazepine,Anticonvulsant,Insulin Regular,Insulin,Antidiabetic,Safe,Low,3,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI01423,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Omeprazole 20mg Capsule,Omeprazole,PPI,Safe,Low,16,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI01424,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Safe,Low,1,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI01425,Omeprazole 20mg Capsule,Omeprazole,PPI,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Safe,Low,9,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
