interaction_id,medicine,supplement_ingredient,interaction_risk,severity,recommendation
I0629,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0630,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0631,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0632,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0633,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0634,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0635,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0636,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0637,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0638,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0639,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0640,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0641,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0642,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0643,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0644,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0645,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0646,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0647,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0648,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0649,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0650,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0651,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0652,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0653,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0654,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0655,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0656,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0657,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0658,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0659,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0660,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0661,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0662,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0663,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0664,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0665,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0666,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0667,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0668,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0669,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0670,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0671,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0672,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0673,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0674,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0675,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0676,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0677,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0678,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0679,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0680,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0681,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0682,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0683,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0684,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0685,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0686,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0687,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0688,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0689,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0690,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0691,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0692,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0693,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0694,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0695,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0696,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0697,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0698,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0699,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0700,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0701,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0702,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0703,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0704,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0705,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0706,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0707,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0708,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0709,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0710,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0711,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0712,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0713,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0714,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0715,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0716,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0717,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0718,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0719,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0720,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0721,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0722,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0723,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0724,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0725,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0726,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0727,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0728,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0729,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0730,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0731,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0732,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0733,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0734,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0735,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0736,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0737,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0738,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0739,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0740,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0741,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0742,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0743,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0744,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0745,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0746,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0747,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0748,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0749,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0750,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0751,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0752,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0753,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0754,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0755,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0756,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0757,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0758,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0759,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0760,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0761,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0762,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0763,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0764,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0765,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0766,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0767,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0768,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0769,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0770,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0771,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0772,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0773,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0774,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0775,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0776,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0777,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0778,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0779,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0780,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0781,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0782,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0783,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0784,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0785,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0786,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0787,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0788,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0789,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0790,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0791,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0792,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0793,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0794,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0795,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0796,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0797,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0798,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0799,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0800,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0801,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0802,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0803,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0804,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0805,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0806,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0807,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0808,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0809,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0810,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0811,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0812,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0813,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0814,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0815,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0816,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0817,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0818,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0819,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0820,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0821,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0822,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0823,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0824,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0825,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0826,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0827,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0828,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0829,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0830,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0831,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0832,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0833,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0834,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0835,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0836,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0837,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0838,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0839,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0840,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0841,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0842,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0843,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0844,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0845,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0846,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0847,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0848,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0849,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0850,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0851,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0852,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0853,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0854,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0855,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0856,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0857,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0858,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0859,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0860,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0861,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0862,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0863,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0864,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0865,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0866,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0867,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0868,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0869,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0870,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0871,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0872,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0873,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0874,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0875,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0876,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0877,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0878,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0879,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0880,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0881,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0882,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0883,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0884,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0885,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0886,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0887,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0888,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0889,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0890,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0891,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0892,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0893,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0894,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0895,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0896,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0897,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0898,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0899,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0900,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0901,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0902,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0903,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0904,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0905,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0906,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0907,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0908,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0909,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0910,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0911,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0912,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0913,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0914,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0915,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0916,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0917,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0918,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0919,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0920,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0921,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0922,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0923,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0924,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0925,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0926,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0927,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0928,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0929,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0930,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0931,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0932,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0933,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0934,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0935,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0936,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0937,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
